# ex: set ff=dos ts=2 et:
# $Id$
#
# A hierarchy of all operating system families and versions
# that we attempt to identify.
#
# We store parent/child relationships so we can generate
# tree-like visualizations, which are useful in double-checking
# our data and also because it's fun for computer nerds like us.
#
# References:
#   #1 Levenz, Eric "Open Systems" Jan 12, 2009
#      <URL: http://www.levenez.com/unix/unix.pdf>
#   #2 [web page] <URL: http://en.wikipedia.org/wiki/Research_UNIX#Versions>
#   #3 [web page] <URL: http://en.wikipedia.org/wiki/SunOS>
#   #4 [web page] <URL: http://en.wikipedia.org/wiki/Solaris_(operating_system)>
#   #5 [web page] <URL: http://en.wikipedia.org/wiki/Linux_kernel#Version_numbering>
#   #6 [web page] <URL: http://en.wikipedia.org/wiki/MacOS#Graphical_timeline>
#   #7 "The History of the NetBSD Project" [web page] http://netbsd.org/about/history.html [Accessed Dec 29 2008]
#   #8 "System V" <URL: http://en.wikipedia.org/wiki/System_V>
#   #9 "A Brief History of FreeBSD" <URL: http://www.freebsd.org/doc/en/books/handbook/history.html> [Accessed Jan 13 2009]
#   #10 "Release Information" <URL: http://www.freebsd.org/releases/>
#   #11 "Changes made between birth and OpenBSD 2.0." <URL: http://www.openbsd.org/plus20.html>
#   #12 "DOS Origins" <URL: http://en.wikipedia.org/wiki/DOS#Origins>
#   #13 "Index of /pub/linux/kernel" [web page] <URL: http://www.kernel.org/pub/linux/kernel/> [Accessed Jan 17 2009]
#   #14 "NetBSD Formal Releases" [web page] <URL: http://www.netbsd.org/releases/formal.html> [Accessed Jan 17 2009]
#   #15 "IRIX" [web page] <URL: http://en.wikipedia.org/wiki/IRIX> [Accessed Jan 17 2009]

#Id,Parent,ParentId,Comment

# the empty but necessary mother of all operating systems
,Unknown,,
SunOS4.1.x,Solaris 1.x,SunOS4.1,"Solaris brand"
SunOS5.0,  Solaris 2,  SunOS4.1.x,
SunOS5.1,  Solaris 2.1,SunOS5.0,
SunOS5.2,  Solaris 2.2,SunOS5.1,
SunOS5.3,  Solaris 2.3,SunOS5.2,
SunOS5.4,  Solaris 2.4,SunOS5.3,
SunOS5.5,  Solaris 2.5,SunOS5.4,
SunOS5.6,  Solaris 2.6,SunOS5.5,
SunOS5.7,  Solaris 7,  SunOS5.6,"Solaris skips a few versions..."
SunOS5.8,  Solaris 8,  SunOS5.7,
SunOS5.9,  Solaris 9,  SunOS5.8,
SunOS5.9.1,Solaris 9.1,SunOS5.9,
SunOS5.10, Solaris 10, SunOS5.9,

# @ref #7
# @ref #9
NetBSD,NetBSD,4.4BSD-Lite,
FreeBSD,FreeBSD,386BSD,

# Now runs on toasters
# @ref #13
NetBSD0.8,  NetBSD 0.8,  NetBSD,     released April 20, 1993
NetBSD0.9,  NetBSD 0.9,  NetBSD0.8,  released August 23, 1993
NetBSD1.0,  NetBSD 1.0,  NetBSD0.9,  released October 26, 1994
NetBSD1.1,  NetBSD 1.1,  NetBSD1.0,  released November 26, 1995
NetBSD1.2,  NetBSD 1.2,  NetBSD1.1,  released October 4, 1996
NetBSD1.2.1,NetBSD 1.2.1,NetBSD1.2,  released May 20, 1997
NetBSD1.3,  NetBSD 1.3,  NetBSD1.2.1,released January 4, 1998
NetBSD1.3.1,NetBSD 1.3.1,NetBSD1.3,  released March 9, 1998
NetBSD1.3.2,NetBSD 1.3.2,NetBSD1.3.1,released May 29, 1998
NetBSD1.3.3,NetBSD 1.3.3,NetBSD1.3.2,released December 23, 1998
NetBSD1.4,  NetBSD 1.4,  NetBSD1.3.3,released May 12, 1999
NetBSD1.4.1,NetBSD 1.4.1,NetBSD1.4,  released August 26, 1999
NetBSD1.4.2,NetBSD 1.4.2,NetBSD1.4.1,released March 21, 2000
NetBSD1.4.3,NetBSD 1.4.3,NetBSD1.4.2,released November 25, 2000
NetBSD1.5,  NetBSD 1.5,  NetBSD1.4.3,released December 6, 2000
NetBSD1.5.1,NetBSD 1.5.1,NetBSD1.5,  released July 11, 2001
NetBSD1.5.2,NetBSD 1.5.2,NetBSD1.5.1,released September 13, 2001
NetBSD1.5.3,NetBSD 1.5.3,NetBSD1.5.2,released July 22, 2002
NetBSD1.6,  NetBSD 1.6,  NetBSD1.5.3,released September 14, 2002
NetBSD1.6.1,NetBSD 1.6.1,NetBSD1.6,  released April 21, 2003
NetBSD1.6.2,NetBSD 1.6.2,NetBSD1.6.1,released March 1, 2004
NetBSD2.0,  NetBSD 2.0,  NetBSD1.6.2,released December 9, 2004
NetBSD2.0.1,NetBSD 2.0.1,NetBSD2.0,  tagged in CVS repository but never released in binary form due to hardware problems with build servers
NetBSD2.0.2,NetBSD 2.0.2,NetBSD2.0.1,released April 14, 2005
NetBSD2.0.3,NetBSD 2.0.3,NetBSD2.0.2,released October 31, 2005
NetBSD2.1,  NetBSD 2.1,  NetBSD2.0.3,released November 02, 2005
NetBSD3.0,  NetBSD 3.0,  NetBSD2.1,  released December 23, 2005
NetBSD3.0.1,NetBSD 3.0.1,NetBSD3.0,  released July 24, 2006
NetBSD3.0.2,NetBSD 3.0.2,NetBSD3.0.1,released November 4, 2006
NetBSD3.1,  NetBSD 3.1,  NetBSD3.0.1,released November 4, 2006
NetBSD4.0,  NetBSD 4.0,  NetBSD3.0.1,released December 19, 2007


# The most mainstream BSD UNIX today
# @ref #10
FreeBSD1.0, FreeBSD 1.0, FreeBSD,
FreeBSD1.1, FreeBSD 1.1, FreeBSD1.0,
FreeBSD2.x, FreeBSD 2.x, FreeBSD1.0,
FreeBSD2.0, FreeBSD 2.0, FreeBSD2.x,
FreeBSD2.1, FreeBSD 2.1, FreeBSD2.0,
FreeBSD2.2, FreeBSD 2.2, FreeBSD2.1,
FreeBSD3.x, FreeBSD 3.x, FreeBSD2.0,"Why 2.x branch as parent?"
FreeBSD3.0, FreeBSD 3.0, FreeBSD3.x,
FreeBSD3.1, FreeBSD 3.1, FreeBSD3.0,
FreeBSD3.2, FreeBSD 3.2, FreeBSD3.1,
FreeBSD3.3, FreeBSD 3.3, FreeBSD3.2,
FreeBSD3.4, FreeBSD 3.4, FreeBSD3.3,
FreeBSD3.5, FreeBSD 3.5, FreeBSD3.4,
FreeBSD4.x, FreeBSD 4.x, FreeBSD3.4,
FreeBSD4.0, FreeBSD 4.0, FreeBSD4.x,
FreeBSD4.1, FreeBSD 4.1, FreeBSD4.0,
FreeBSD4.2, FreeBSD 4.2, FreeBSD4.1,
FreeBSD4.3, FreeBSD 4.3, FreeBSD4.2,
FreeBSD4.4, FreeBSD 4.4, FreeBSD4.3,
FreeBSD4.5, FreeBSD 4.5, FreeBSD4.4,
FreeBSD4.6, FreeBSD 4.6, FreeBSD4.5,
FreeBSD4.7, FreeBSD 4.7, FreeBSD4.6,
FreeBSD4.8, FreeBSD 4.8, FreeBSD4.7,
FreeBSD4.9, FreeBSD 4.9, FreeBSD4.8,
