sqlite> select a1.from_,h.addr,h.contents,h2.hintsrc,h2.contents,count(*) as cnt from hint h join addr as a1 on a1.to_ = h.addr join hint as h2 on h2.addr = a1.from_ and h2.hintsrc = 'BOOTP.Fingerprint' where h.hintsrc = 'BROWSE.OS' group by h.contents,h2.contents order by length(h2.contents) desc, h2.contents desc, cnt desc;
a1.from_           h.addr       h.contents  h2.hintsrc         h2.contents                                                             cnt
00:c0:4f:8c:c6:15  10.43.97.8   5.0         BOOTP.Fingerprint  128,Dis,"53,251,61,12,60,55","1,15,3,6,44,46,47,31,33,43"               1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,58,59,51,54,1,6,3,15","ã                               1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,58,59,51,54,1,81,15,3,6",""                                1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,58,59,51,54,1,81,15,3,6",""                                 1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Off,"53,1,58,59,51,54,6,15,3",""                                   1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Off,"53,1,58,59,51,54,3,15,6",""                                   1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Off,"53,1,58,59,51,54,15,3,6",""                                   1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,58,59,51,54,1,6,3,15",""                                   1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,58,59,51,54,1,6,3,15","                                   1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,58,59,51,54,1,6,15,3",""                                   1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,58,59,51,54,1,3,15,6",""                                   1
